url,menu,swordfish,name
https://www.yelp.com/biz/paradise-seafood-restaurant-honolulu-8?osq=Seafood+Restaurant,http://www.hawaiiparadiseseafood.com/menu_page.php,False,
https://www.yelp.com/biz/53-by-the-sea-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/53-by-the-sea-honolulu/main-menu,False,
https://www.yelp.com/biz/nicos-pier-38-honolulu-2?osq=Seafood+Restaurant,http://nicospier38.com/lunch,False,
https://www.yelp.com/biz/hula-grill-waikiki-honolulu-3?osq=Seafood+Restaurant,https://www.yelp.com/menu/hula-grill-waikiki-honolulu-3/breakfast,False,
https://www.yelp.com/biz/karai-crab-honolulu?osq=Seafood+Restaurant,http://karaicrab.com/our-menu/,False,
https://www.yelp.com/biz/cajun-king-kaimuki-honolulu-3?osq=Seafood+Restaurant,https://www.yelp.com/menu/cajun-king-kaimuki-honolulu-3,False,
https://www.yelp.com/biz/uncles-fish-market-and-grill-honolulu?osq=Seafood+Restaurant,http://www.unclesfishmarket.com/menu/,False,
https://www.yelp.com/biz/roys-waikiki-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/roys-waikiki-honolulu,False,
https://www.yelp.com/biz/azure-restaurant-honolulu?osq=Seafood+Restaurant,http://www.yelp.com/menu/azure-restaurant-honolulu,True,
https://www.yelp.com/biz/fresh-catch-honolulu?osq=Seafood+Restaurant,http://www.freshcatch808.com/%3Fq%3Dcontent/menu,False,
https://www.yelp.com/biz/fresh-ahi-off-the-boat-honolulu?osq=Seafood+Restaurant,http://freshahiofftheboat.com/menu.html,False,
https://www.yelp.com/biz/chucks-cellar-honolulu?osq=Seafood+Restaurant,http://www.chuckshawaii.com/cellarmenu.html,False,
https://www.yelp.com/biz/tikis-grill-and-bar-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/tikis-grill-and-bar-honolulu/dinner-menu,False,
https://www.yelp.com/biz/roys-hawaii-honolulu-3?osq=Seafood+Restaurant,http://www.royshawaii.com/roys-hawaii-kai.html,False,
https://www.yelp.com/biz/dukes-waikiki-honolulu-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/dukes-waikiki-honolulu-2/breakfast,False,
https://www.yelp.com/biz/tanaka-of-tokyo-east-honolulu-3?osq=Seafood+Restaurant,http://www.tanakaoftokyo.com/en/menu/,False,
https://www.yelp.com/biz/kickin-kajun-honolulu-2?osq=Seafood+Restaurant,http://www.kickin-kajun.com/menu/,False,
https://www.yelp.com/biz/mitchs-fish-market-honolulu-2?osq=Seafood+Restaurant,http://mitchssushi.com/menu,False,
https://www.yelp.com/biz/pai-honolulu-honolulu?osq=Seafood+Restaurant,http://www.paihonolulu.com/menu,False,
https://www.yelp.com/biz/harbor-restaurant-at-pier-38-honolulu-4?osq=Seafood+Restaurant,http://www.harborpier38.com/menu/,False,
https://www.yelp.com/biz/the-signature-prime-steak-and-seafood-honolulu?osq=Seafood+Restaurant,http://signatureprimesteak.com/our-menu/,False,
https://www.yelp.com/biz/monarch-seafoods-honolulu?osq=Seafood+Restaurant,http://monarchseafoods.com/menu,False,
https://www.yelp.com/biz/sansei-seafood-restaurant-and-sushi-bar-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/sansei-seafood-restaurant-and-sushi-bar-honolulu,False,
https://www.yelp.com/biz/house-without-a-key-honolulu-2?osq=Seafood+Restaurant,https://goo.gl/ILPSuQ,False,
https://www.yelp.com/biz/la-mariana-sailing-club-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/la-mariana-sailing-club-honolulu,False,
https://www.yelp.com/biz/haleiwa-joes-kaneohe?osq=Seafood+Restaurant,https://www.yelp.com/menu/haleiwa-joes-kaneohe,False,
https://www.yelp.com/biz/legend-seafood-restaurant-honolulu?osq=Seafood+Restaurant,http://legendseafoodhonolulu.com/menus1,False,
https://www.yelp.com/biz/cajun-king-kaneohe-kaneohe-5?osq=Seafood+Restaurant,http://www.cajunking808.com/menu.html,False,
https://www.yelp.com/biz/alan-wongs-restaurant-honolulu?osq=Seafood+Restaurant,http://www.alanwongs.com/honolulu/dinner-menu-ks,False,
https://www.yelp.com/biz/ahi-assassins-fish-honolulu?osq=Seafood+Restaurant,http://www.ahiassassins.com/store-menu.html,False,
https://www.yelp.com/biz/hys-steak-house-honolulu-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/hys-steak-house-honolulu-2/main-menu,False,
https://www.yelp.com/biz/uncle-bos-pupu-bar-and-grill-honolulu?osq=Seafood+Restaurant,http://www.unclebosrestaurant.com/menus.html,False,
https://www.yelp.com/biz/michels-at-the-colony-surf-honolulu-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/michels-at-the-colony-surf-honolulu-2,False,
https://www.yelp.com/biz/japengo-restaurant-honolulu-4?osq=Seafood+Restaurant,http://hyatthotels.hyatt.com/corporate/restaurants/japengo/en/waikiki/menus.html,False,
https://www.yelp.com/biz/baku-waikiki-honolulu?osq=Seafood+Restaurant,http://baku-waikiki.com/bakus-menu/,False,
https://www.yelp.com/biz/restaurant-604-honolulu-3?osq=Seafood+Restaurant,http://www.eatdrinkaloha.com/%3Fpage_id%3D6,False,
https://www.yelp.com/biz/atlantis-seafood-and-steak-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/atlantis-seafood-and-steak-honolulu,False,
https://www.yelp.com/biz/tamashiro-market-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/tamashiro-market-honolulu,False,
https://www.yelp.com/biz/henry-louis-restaurant-honolulu?osq=Seafood+Restaurant,https://www.yelp.com/menu/henry-louis-restaurant-honolulu/pupus,False,
https://www.yelp.com/biz/kai-market-honolulu?osq=Seafood+Restaurant,http://www.yelp.com/menu/kai-market-honolulu,False,
https://www.yelp.com/biz/ka-ikena-honolulu?osq=Seafood+Restaurant,http://culinary.kapiolani.hawaii.edu/kaikena-lauae/,False,
https://www.yelp.com/biz/sushi-izakaya-gaku-honolulu-2?osq=Seafood+Restaurant,https://www.yelp.com/menu/sushi-izakaya-gaku-honolulu-2,False,
https://www.yelp.com/biz/marukame-udon-honolulu?osq=Seafood+Restaurant,http://www.toridollusa.com/menu-waikiki.php,False,
https://www.yelp.com/biz/ono-steaks-and-shrimp-shack-waimanalo?osq=Seafood+Restaurant,https://www.yelp.com/menu/ono-steaks-and-shrimp-shack-waimanalo,False,
https://www.yelp.com/biz/beachhouse-at-the-moana-honolulu-6?osq=Seafood+Restaurant,http://www.beachhousewaikiki.com/menus/,False,
https://www.yelp.com/biz/mortons-the-steakhouse-honolulu?osq=Seafood+Restaurant,http://www.mortons.com/menu,False,
https://www.yelp.com/biz/jinroku-honolulu?osq=Seafood+Restaurant,http://www.jinrokupacific.com/menu.html,False,
https://www.yelp.com/biz/domo-cafe-honolulu?osq=Seafood+Restaurant,http://www.domocafe.net/menu.html,False,
https://www.yelp.com/biz/stadium-camellia-restaurant-honolulu?osq=Seafood+Restaurant,http://www.stadiumcamelliarestaurant.com/menu.html,False,
https://www.yelp.com/biz/izakaya-torae-torae-honolulu?osq=Seafood+Restaurant,http://toraetorae.com/menu.html,False,
https://www.yelp.com/biz/arancino-on-beachwalk-honolulu?osq=Seafood+Restaurant,http://www.arancino.com/arancino-beachwalk/menu,False,
