menu,name,swordfish,url
http://www.hawaiiparadiseseafood.com/menu_page.php,Paradise Seafood Restaurant,False,https://www.yelp.com/biz/paradise-seafood-restaurant-honolulu-8?osq=Seafood+Restaurant
https://www.yelp.com/menu/dukes-waikiki-honolulu-2/breakfast,,False,https://www.yelp.com/biz/dukes-waikiki-honolulu-2?osq=Seafood+Restaurant
http://karaicrab.com/our-menu/,,False,https://www.yelp.com/biz/karai-crab-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/hula-grill-waikiki-honolulu-3/breakfast,,False,https://www.yelp.com/biz/hula-grill-waikiki-honolulu-3?osq=Seafood+Restaurant
http://www.tanakaoftokyo.com/en/menu/,Tanaka of Tokyo East,False,https://www.yelp.com/biz/tanaka-of-tokyo-east-honolulu-3?osq=Seafood+Restaurant
http://nicospier38.com/lunch,,False,https://www.yelp.com/biz/nicos-pier-38-honolulu-2?osq=Seafood+Restaurant
https://www.yelp.com/menu/roys-waikiki-honolulu,,False,https://www.yelp.com/biz/roys-waikiki-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/53-by-the-sea-honolulu/main-menu,,False,https://www.yelp.com/biz/53-by-the-sea-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/cajun-king-kaimuki-honolulu-3,,False,https://www.yelp.com/biz/cajun-king-kaimuki-honolulu-3?osq=Seafood+Restaurant
http://www.unclesfishmarket.com/menu/,Uncle’s Fish Market & Grill,False,https://www.yelp.com/biz/uncles-fish-market-and-grill-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/sansei-seafood-restaurant-and-sushi-bar-honolulu,Sansei Seafood Restaurant & Sushi Bar,False,https://www.yelp.com/biz/sansei-seafood-restaurant-and-sushi-bar-honolulu?osq=Seafood+Restaurant
http://www.tommybahama.com/content/dam/tommy/restaurants/waikiki/dinner.pdf,Tommy Bahama Restaurant | Bar | Store - Waikiki,False,https://www.yelp.com/biz/tommy-bahama-restaurant-bar-store-waikiki-honolulu?osq=Seafood+Restaurant
http://www.harborpier38.com/menu/,Harbor Restaurant At Pier 38,False,https://www.yelp.com/biz/harbor-restaurant-at-pier-38-honolulu-4?osq=Seafood+Restaurant
http://www.kickin-kajun.com/menu/,,False,https://www.yelp.com/biz/kickin-kajun-honolulu-2?osq=Seafood+Restaurant
http://www.chuckshawaii.com/cellarmenu.html,,False,https://www.yelp.com/biz/chucks-cellar-honolulu?osq=Seafood+Restaurant
http://freshahiofftheboat.com/menu.html,Fresh Ahi Off the Boat,False,https://www.yelp.com/biz/fresh-ahi-off-the-boat-honolulu?osq=Seafood+Restaurant
http://www.paihonolulu.com/menu,,False,https://www.yelp.com/biz/pai-honolulu-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/tikis-grill-and-bar-honolulu/dinner-menu,,False,https://www.yelp.com/biz/tikis-grill-and-bar-honolulu?osq=Seafood+Restaurant
http://mitchssushi.com/menu,,False,https://www.yelp.com/biz/mitchs-fish-market-honolulu-2?osq=Seafood+Restaurant
http://www.yelp.com/menu/azure-restaurant-honolulu,,True,https://www.yelp.com/biz/azure-restaurant-honolulu?osq=Seafood+Restaurant
https://goo.gl/ILPSuQ,,False,https://www.yelp.com/biz/house-without-a-key-honolulu-2?osq=Seafood+Restaurant
http://www.freshcatch808.com/%3Fq%3Dcontent/menu,,False,https://www.yelp.com/biz/fresh-catch-honolulu?osq=Seafood+Restaurant
http://signatureprimesteak.com/our-menu/,The Signature Prime Steak & Seafood,False,https://www.yelp.com/biz/the-signature-prime-steak-and-seafood-honolulu?osq=Seafood+Restaurant
https://www.yelp.com/menu/haleiwa-joes-kaneohe,,False,https://www.yelp.com/biz/haleiwa-joes-kaneohe?osq=Seafood+Restaurant
https://www.yelp.com/menu/la-mariana-sailing-club-honolulu,La Mariana Sailing Club,False,https://www.yelp.com/biz/la-mariana-sailing-club-honolulu?osq=Seafood+Restaurant
